,possibly_sensitive,author_id,edit_history_tweet_ids,source,conversation_id,lang,text,id,reply_settings,context_annotations,referenced_tweets,created_at,entities.annotations,entities.mentions,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,entities.urls,attachments.media_keys,entities.hashtags,in_reply_to_user_id
0,False,1243447585580421122,['1591045207750868992'],Twitter for Android,1591045207750868992,en,"RT @remitano: 🧐Mystery Planet🪐|Race Runner

Win CryptoGift+iPhone14 in 3 ways!

☝️DailyAttendance+ShareGame+Swap 200$= 3Spins
✌️Swap 250$=…",1591045207750868992,everyone,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]","[{'type': 'retweeted', 'id': '1591040782638645251'}]",2022-11-11T12:28:32.000Z,"[{'start': 31, 'end': 34, 'probability': 0.6085, 'type': 'Other', 'normalized_text': 'Race'}, {'start': 48, 'end': 57, 'probability': 0.48, 'type': 'Other', 'normalized_text': 'CryptoGift'}, {'start': 59, 'end': 66, 'probability': 0.939, 'type': 'Product', 'normalized_text': 'iPhone14'}]","[{'start': 3, 'end': 12, 'username': 'remitano', 'id': '2912733829'}]",5,False,2022-11-11T12:58:32.000Z,35,0,0,0,,,,
1,True,792740696935456772,['1591045200134406145'],Twitter for iPhone,1591045200134406145,ja,iPhone14proデビュー❣️ https://t.co/hYDFSqMF92,1591045200134406145,everyone,,,2022-11-11T12:28:30.000Z,,,5,True,2022-11-11T12:58:30.000Z,0,0,3,0,"[{'start': 18, 'end': 41, 'url': 'https://t.co/hYDFSqMF92', 'expanded_url': 'https://twitter.com/hikarun_idol/status/1591045200134406145/photo/1', 'display_url': 'pic.twitter.com/hYDFSqMF92', 'media_key': '3_1591045170560057344'}]",['3_1591045170560057344'],,
2,False,1127237377599000576,['1591045193553567748'],Twitter for iPhone,1591045193553567748,ja,"RT @ryu_sshin: 【iPhone14シリーズ世界最安値購入無料note】

円安の影響で最安値モデルでも10万円を超えているiPhone14シリーズ。
これを実質10万円以下で購入できる手法を無料公開。

✅この龍神アカウントをフォロー
✅このツイートをRT &amp; い…",1591045193553567748,everyone,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1011352563667558400', 'name': 'Economic Issues in Japan', 'description': 'Conversation related to the Japanese economy. 日本経済についての会話'}}]","[{'type': 'retweeted', 'id': '1588471312200388610'}]",2022-11-11T12:28:28.000Z,,"[{'start': 3, 'end': 13, 'username': 'ryu_sshin', 'id': '1170306802497413120'}]",5,False,2022-11-11T12:58:28.000Z,384,0,0,0,,,,
3,False,337468926,['1591045177967521794'],Twitter Web App,1591045177967521794,ja,"RT @JP_NEWSTATE: ＼\🎊1st Anniversary キャンペーン開催🎊/／

皆さまのおかげで #ニューステ はリリース1周年‼️
感謝をこめて #iPhone14Pro と #airpodspro2 や #Amazonギフト券 10万円分を #プレゼント…",1591045177967521794,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1590992733253947392'}]",2022-11-11T12:28:25.000Z,,"[{'start': 3, 'end': 15, 'username': 'JP_NEWSTATE', 'id': '1333693963451043841'}]",5,False,2022-11-11T12:58:25.000Z,9635,0,0,0,,,"[{'start': 58, 'end': 64, 'tag': 'ニューステ'}, {'start': 83, 'end': 95, 'tag': 'iPhone14Pro'}, {'start': 98, 'end': 110, 'tag': 'airpodspro2'}, {'start': 113, 'end': 124, 'tag': 'Amazonギフト券'}, {'start': 132, 'end': 138, 'tag': 'プレゼント'}]",
4,False,1472151743350059011,['1591045150633250816'],Twitter for iPhone,1591045150633250816,ja,"RT @apple_siori: 🎀11月のappleプレゼント🎀

★iPhone14📲

★iPad (第10世代)💻

欲しい方を20台差し上げます！

参加者は⇩
▸固定ツイをリツイート
▸フォロー
▸通知設定

以上、3点全てお願いします！ https://t.co/…",1591045150633250816,everyone,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '972153731067273222', 'name': 'Apple iPad', 'description': 'Apple iPad'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]","[{'type': 'retweeted', 'id': '1589207949557501952'}]",2022-11-11T12:28:18.000Z,"[{'start': 23, 'end': 27, 'probability': 0.5704, 'type': 'Product', 'normalized_text': 'apple'}, {'start': 51, 'end': 54, 'probability': 0.4967, 'type': 'Product', 'normalized_text': 'iPad'}]","[{'start': 3, 'end': 15, 'username': 'apple_siori', 'id': '612639611'}]",5,False,2022-11-11T12:58:18.000Z,538,0,0,0,,,,
5,False,788729622976458752,['1591045135382773760'],Twitter Web App,1591045135382773760,en,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/hNNlLIi7qT

🎁Rewards: 
Random 1 in Top Ref: 01…",1591045135382773760,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1590726883045683200'}]",2022-11-11T12:28:15.000Z,"[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]",5,False,2022-11-11T12:58:15.000Z,3627,0,0,0,"[{'start': 84, 'end': 107, 'url': 'https://t.co/hNNlLIi7qT', 'expanded_url': 'https://t.me/AttlasAirdropbot', 'display_url': 't.me/AttlasAirdropb…', 'status': 200, 'title': 'Attlas Airdrop', 'description': 'You can contact @AttlasAirdropbot right away.', 'unwound_url': 'https://t.me/AttlasAirdropbot'}]",,,
6,False,1464422282915373058,['1591045125312221184'],Twitter for Android,1591045125312221184,en,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/5xTKjhi2XU

🎁Rewards: 
Random 1 in Top Ref: 01…",1591045125312221184,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1590276961544601603'}]",2022-11-11T12:28:12.000Z,"[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]",5,False,2022-11-11T12:58:12.000Z,6466,0,0,0,"[{'start': 84, 'end': 107, 'url': 'https://t.co/5xTKjhi2XU', 'expanded_url': 'https://gleam.io/ZMuT7/attlas-massive-iphone-14-600m-shib-airdrop', 'display_url': 'gleam.io/ZMuT7/attlas-m…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1592813843902001153/m6fP1Dac?format=jpg&name=orig', 'width': 540, 'height': 304}, {'url': 'https://pbs.twimg.com/news_img/1592813843902001153/m6fP1Dac?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Attlas Airdrop: iPhone 14 & 600.000.000 SHIB', 'description': 'Attlas is an investment platform which makes digital asset investment secure, fast and accessible to any investor. It offers lightning deposit and withdrawal, low-fee Futures & Spot trading and daily staking. Join Attlas to trade Bitcoin and +600 other cryptocurrencies at lowest fees with people around the world. Follow us on social channels, tweet about us & Invite friends to join our amazing event! MASSIVE PRIZE POOL: IPHONE 14 & 600.000.000 SHIB Top 1 with min 204 entries: 01 iPhone 14 (USDT worth) Top 5 by Referrals (min 20 referrals): 8 Million SHIB tokens/winner Random Top 5 with min 10 entries: 8 Million SHIB tokens/winner 1000 Random Winners: 500.000 SHIB tokens/winner Time: 13:00 2022/11/09 to 13:00 2022/11/20 (UTC) WINNERS WILL BE ANNOUNCED ON TUESDAY 22TH NOVEMBER ON OUR OFFICIAL CHANNELS! Complete all the tasks and earn entries Good luck to everyone!', 'unwound_url': 'https://gleam.io/ZMuT7/attlas-massive-iphone-14-600m-shib-airdrop'}]",,,
7,False,792236871828971520,['1591045120899846144'],Twitter for iPhone,1591045120899846144,ja,"RT @JP_NEWSTATE: ＼\🎊1st Anniversary キャンペーン開催🎊/／

皆さまのおかげで #ニューステ はリリース1周年‼️
感謝をこめて #iPhone14Pro と #airpodspro2 や #Amazonギフト券 10万円分を #プレゼント…",1591045120899846144,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1590992733253947392'}]",2022-11-11T12:28:11.000Z,,"[{'start': 3, 'end': 15, 'username': 'JP_NEWSTATE', 'id': '1333693963451043841'}]",5,False,2022-11-11T12:58:11.000Z,9635,0,0,0,,,"[{'start': 58, 'end': 64, 'tag': 'ニューステ'}, {'start': 83, 'end': 95, 'tag': 'iPhone14Pro'}, {'start': 98, 'end': 110, 'tag': 'airpodspro2'}, {'start': 113, 'end': 124, 'tag': 'Amazonギフト券'}, {'start': 132, 'end': 138, 'tag': 'プレゼント'}]",
8,False,1200990505925955586,['1591045111802392576'],Twitter for Android,1591045111802392576,ja,"RT @JP_NEWSTATE: ＼\🎊1st Anniversary キャンペーン開催🎊/／

皆さまのおかげで #ニューステ はリリース1周年‼️
感謝をこめて #iPhone14Pro と #airpodspro2 や #Amazonギフト券 10万円分を #プレゼント…",1591045111802392576,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1590992733253947392'}]",2022-11-11T12:28:09.000Z,,"[{'start': 3, 'end': 15, 'username': 'JP_NEWSTATE', 'id': '1333693963451043841'}]",5,False,2022-11-11T12:58:09.000Z,9635,0,0,0,,,"[{'start': 58, 'end': 64, 'tag': 'ニューステ'}, {'start': 83, 'end': 95, 'tag': 'iPhone14Pro'}, {'start': 98, 'end': 110, 'tag': 'airpodspro2'}, {'start': 113, 'end': 124, 'tag': 'Amazonギフト券'}, {'start': 132, 'end': 138, 'tag': 'プレゼント'}]",
9,False,1523291735467520003,['1591045111567507458'],Twitter for Android,1591045111567507458,ja,"RT @TWSR_nexon: ＼✨モンスター討伐で最新𝗶𝗣𝗵𝗼𝗻𝗲が当たる✨／

19:30 現在
デビルナイト【HP 326,500/500,000】
すでにあと65％・・・！

討伐キャンペーンも本日がラスト！
iPhone14ゲットのチャンスを見逃すな！

※いいね/R…",1591045111567507458,everyone,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'type': 'retweeted', 'id': '1591017065879842816'}]",2022-11-11T12:28:09.000Z,,"[{'start': 3, 'end': 14, 'username': 'TWSR_nexon', 'id': '1539841333082607616'}]",5,False,2022-11-11T12:58:09.000Z,76,0,0,0,,,,
