,possibly_sensitive,text,id,source,created_at,reply_settings,lang,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,context_annotations,entities.hashtags,entities.annotations,entities.urls,entities.mentions,geo.place_id,entities.cashtags,geo.coordinates.type,geo.coordinates.coordinates
0,FALSE,iPhone14proに機種変した！使いこなせるかっていうと💦なんか最近目がすぐ疲れる（それは機能とはまた別の話し）,1.59E+18,Twitter for iPhone,2022-11-08T14:59:53.000Z,everyone,ja,['1589996132239015936'],0,1,6,0,,,,,,,,,
1,FALSE,"楽天市場にてiPhone 14 Pro 512GB simフリー 端末本体のみ （楽天モバイル回線なし）! #iphone #iphone14 https://t.co/4GAF8INc4P, Tue, 08 Nov 2022 23:59:50 +0900",1.59E+18,TwifullJP,2022-11-08T14:59:50.000Z,everyone,ja,['1589996122227232778'],0,0,0,0,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '783335558466506752', 'name': 'Online - Retail'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1230150773012484102', 'name': 'Rakuten Mobile'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1407811550987972617', 'name': 'Industries'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1407812892909473795', 'name': 'eCommerce industry'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'start': 54, 'end': 61, 'tag': 'iphone'}, {'start': 62, 'end': 71, 'tag': 'iphone14'}]","[{'start': 0, 'end': 3, 'probability': 0.4765, 'type': 'Organization', 'normalized_text': '楽天市場'}, {'start': 6, 'end': 28, 'probability': 0.2661, 'type': 'Product', 'normalized_text': 'iPhone 14 Pro 512GB sim'}]","[{'start': 72, 'end': 95, 'url': 'https://t.co/4GAF8INc4P', 'expanded_url': 'https://a.r10.to/hMa5Mm', 'display_url': 'a.r10.to/hMa5Mm', 'images': [{'url': 'https://pbs.twimg.com/news_img/1591215120260091904/02VNh98p?format=png&name=orig', 'width': 600, 'height': 600}, {'url': 'https://pbs.twimg.com/news_img/1591215120260091904/02VNh98p?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '【楽天市場】iPhone 14 Pro 512GB simフリー 端末本体のみ （楽天モバイル回線なし） 新品：楽天モバイル公式 楽天市場店', 'description': '楽天モバイル 公式ショップ。iPhone 14 Pro 512GB simフリー 端末本体のみ （楽天モバイル回線なし） 新品', 'unwound_url': 'https://item.rakuten.co.jp/rakutenmobile-store/iphone-14-pro_512gb/?scid=af_pc_etc&sc2id=af_101_0_0'}]",,,,,
2,FALSE,"RT @asumira2022: 【朗報】
#アストラルミラージュ 2022年11月10日リリース決定！

超大型フォロー＆RTキャンペーン開催🥳㊗️

条件達成で #iPhone14 や #Amazonギフト券 が合計30名様に当たる！

《参加方法》
１.@asumira2…",1.59E+18,Twitter Web App,2022-11-08T14:59:46.000Z,everyone,ja,['1589996105819131904'],10963,0,0,0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'start': 22, 'end': 33, 'tag': 'アストラルミラージュ'}, {'start': 83, 'end': 92, 'tag': 'iPhone14'}, {'start': 95, 'end': 106, 'tag': 'Amazonギフト券'}]",,,"[{'start': 3, 'end': 15, 'username': 'asumira2022', 'id': '1533716947992735744'}]",,,,
3,FALSE,"RT @atope_bnpl: 「あの、iPhone14ってドコモで買ったんですか？」と後輩に聞かれたので「ぼくはApple Storeの通販だよ。2万円も安いしね。ドコモみたいに""36回の分割払い""が無料でできるから、今お金なくても大丈夫。それにApple Storeの下取り…",1.59E+18,Twitter for iPhone,2022-11-08T14:59:42.000Z,everyone,ja,['1589996085308948481'],4927,0,0,0,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1035268264916484096', 'name': 'docomo (ドコモ)', 'description': 'docomo (ドコモ)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,"[{'start': 30, 'end': 32, 'probability': 0.755, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 57, 'end': 67, 'probability': 0.4309, 'type': 'Product', 'normalized_text': 'Apple Store'}, {'start': 83, 'end': 85, 'probability': 0.7194, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 124, 'end': 134, 'probability': 0.4624, 'type': 'Product', 'normalized_text': 'Apple Store'}]",,"[{'start': 3, 'end': 14, 'username': 'atope_bnpl', 'id': '1574678967176437760'}]",,,,
4,FALSE,iPhone14Pro https://t.co/yrPrpLNdnA,1.59E+18,Twitter for iPhone,2022-11-08T14:59:38.000Z,everyone,it,['1589996068338827265'],0,0,3,0,,,,"[{'start': 12, 'end': 35, 'url': 'https://t.co/yrPrpLNdnA', 'expanded_url': 'https://twitter.com/niko001018/status/1589996068338827265/photo/1', 'display_url': 'pic.twitter.com/yrPrpLNdnA', 'media_key': '3_1589996064634916864'}, {'start': 12, 'end': 35, 'url': 'https://t.co/yrPrpLNdnA', 'expanded_url': 'https://twitter.com/niko001018/status/1589996068338827265/photo/1', 'display_url': 'pic.twitter.com/yrPrpLNdnA', 'media_key': '3_1589996064500695040'}]",,,,,
5,FALSE,"RT @WhiteConcours_: 🎁#CONCOURS🎁 

Un IPhone 14 à gagner (1329€)!

Pour participer : 

➡️ RT &amp; Like
➡️ Follow moi
➡️ Tag 2 amis

Bonne chanc…",1.59E+18,Twitter,2022-11-08T14:59:28.000Z,everyone,fr,['1589996028421459969'],90,0,0,0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'start': 21, 'end': 30, 'tag': 'CONCOURS'}]",,,"[{'start': 3, 'end': 18, 'username': 'WhiteConcours_', 'id': '1568242683667222528'}]",,,,
6,FALSE,"RT @atope_bnpl: 「あの、iPhone14ってドコモで買ったんですか？」と後輩に聞かれたので「ぼくはApple Storeの通販だよ。2万円も安いしね。ドコモみたいに""36回の分割払い""が無料でできるから、今お金なくても大丈夫。それにApple Storeの下取り…",1.59E+18,Twitter for iPhone,2022-11-08T14:59:12.000Z,everyone,ja,['1589995962453602305'],4927,0,0,0,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1035268264916484096', 'name': 'docomo (ドコモ)', 'description': 'docomo (ドコモ)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,"[{'start': 30, 'end': 32, 'probability': 0.755, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 57, 'end': 67, 'probability': 0.4309, 'type': 'Product', 'normalized_text': 'Apple Store'}, {'start': 83, 'end': 85, 'probability': 0.7194, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 124, 'end': 134, 'probability': 0.4624, 'type': 'Product', 'normalized_text': 'Apple Store'}]",,"[{'start': 3, 'end': 14, 'username': 'atope_bnpl', 'id': '1574678967176437760'}]",,,,
7,FALSE,"RT @jiaojiao89: 粉丝福利
1.转发区抽2个自录露脸带娇喘视频
2.转发区抽2个原味(款式随机)
3.抽3位宝宝安排iPhone14📱Pro
Max(抽中不想要手机,可以折现12999🧧)活动真实有效
[抽奖规则]关注+点赞➕转发
注意!(设置隐私，隐私安全，私信…",1.59E+18,Twitter Web App,2022-11-08T14:59:06.000Z,following,zh,['1589995935656210432'],96,0,0,0,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,,,"[{'start': 3, 'end': 14, 'username': 'jiaojiao89', 'id': '37473835'}]",,,,
8,FALSE,"がんばてとたよぉ
左←皆既月食
右→月食の終わり

#iPhoneの限界 #iPhone14ProMax https://t.co/6MC0Rsc3Bd",1.59E+18,Twitter for iPhone,2022-11-08T14:59:01.000Z,everyone,ja,['1589995915506757633'],0,0,1,0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]","[{'start': 26, 'end': 36, 'tag': 'iPhoneの限界'}, {'start': 37, 'end': 52, 'tag': 'iPhone14ProMax'}]",,"[{'start': 53, 'end': 76, 'url': 'https://t.co/6MC0Rsc3Bd', 'expanded_url': 'https://twitter.com/Kirahvi27/status/1589995915506757633/photo/1', 'display_url': 'pic.twitter.com/6MC0Rsc3Bd', 'media_key': '3_1589995911027265539'}, {'start': 53, 'end': 76, 'url': 'https://t.co/6MC0Rsc3Bd', 'expanded_url': 'https://twitter.com/Kirahvi27/status/1589995915506757633/photo/1', 'display_url': 'pic.twitter.com/6MC0Rsc3Bd', 'media_key': '3_1589995911039823873'}]",,,,,
9,FALSE,"RT @atope_bnpl: 「あの、iPhone14ってドコモで買ったんですか？」と後輩に聞かれたので「ぼくはApple Storeの通販だよ。2万円も安いしね。ドコモみたいに""36回の分割払い""が無料でできるから、今お金なくても大丈夫。それにApple Storeの下取り…",1.59E+18,Twitter for iPhone,2022-11-08T14:59:00.000Z,everyone,ja,['1589995911912230912'],4927,0,0,0,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1035268264916484096', 'name': 'docomo (ドコモ)', 'description': 'docomo (ドコモ)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,"[{'start': 30, 'end': 32, 'probability': 0.755, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 57, 'end': 67, 'probability': 0.4309, 'type': 'Product', 'normalized_text': 'Apple Store'}, {'start': 83, 'end': 85, 'probability': 0.7194, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 124, 'end': 134, 'probability': 0.4624, 'type': 'Product', 'normalized_text': 'Apple Store'}]",,"[{'start': 3, 'end': 14, 'username': 'atope_bnpl', 'id': '1574678967176437760'}]",,,,
10,FALSE,"RT @apple_siori: 👧絶賛募集中ー👧

★iPhone14

★iPad (第10世代)

欲しい方を20台差し上げます👇

参加者は⇩
▸固定ツイのRT
▸フォロー
▸通知設定 https://t.co/dze5SNwigx",1.59E+18,Twitter for iPhone,2022-11-08T14:58:58.000Z,everyone,ja,['1589995902504407040'],561,0,0,0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '972153731067273222', 'name': 'Apple iPad', 'description': 'Apple iPad'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,,"[{'start': 97, 'end': 120, 'url': 'https://t.co/dze5SNwigx', 'expanded_url': 'https://twitter.com/apple_siori/status/1589908715788185601/photo/1', 'display_url': 'pic.twitter.com/dze5SNwigx', 'media_key': '3_1589908674826338304'}]","[{'start': 3, 'end': 15, 'username': 'apple_siori', 'id': '612639611'}]",,,,
11,FALSE,"RT @apple_siori: 🎀11月のappleプレゼント🎀

★iPhone14📲

★iPad (第10世代)💻

欲しい方を20台差し上げます！

参加者は⇩
▸リツイート
▸フォロー
▸通知設定

以上、3点全てお願いします！ https://t.co/yQV1c…",1.59E+18,Twitter for iPhone,2022-11-08T14:58:54.000Z,everyone,ja,['1589995884179517441'],1553,0,0,0,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '972153731067273222', 'name': 'Apple iPad', 'description': 'Apple iPad'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,"[{'start': 23, 'end': 27, 'probability': 0.5703, 'type': 'Product', 'normalized_text': 'apple'}, {'start': 51, 'end': 54, 'probability': 0.5081, 'type': 'Product', 'normalized_text': 'iPad'}]",,"[{'start': 3, 'end': 15, 'username': 'apple_siori', 'id': '612639611'}]",,,,
12,FALSE,"RT @atope_bnpl: 「あの、iPhone14ってドコモで買ったんですか？」と後輩に聞かれたので「ぼくはApple Storeの通販だよ。2万円も安いしね。ドコモみたいに""36回の分割払い""が無料でできるから、今お金なくても大丈夫。それにApple Storeの下取り…",1.59E+18,Twitter for iPhone,2022-11-08T14:58:48.000Z,everyone,ja,['1589995860376813570'],4927,0,0,0,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1035268264916484096', 'name': 'docomo (ドコモ)', 'description': 'docomo (ドコモ)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",,"[{'start': 30, 'end': 32, 'probability': 0.755, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 57, 'end': 67, 'probability': 0.4309, 'type': 'Product', 'normalized_text': 'Apple Store'}, {'start': 83, 'end': 85, 'probability': 0.7194, 'type': 'Organization', 'normalized_text': 'ドコモ'}, {'start': 124, 'end': 134, 'probability': 0.4624, 'type': 'Product', 'normalized_text': 'Apple Store'}]",,"[{'start': 3, 'end': 14, 'username': 'atope_bnpl', 'id': '1574678967176437760'}]",,,,
