,context_annotations,edit_history_tweet_ids,source,created_at,text,lang,possibly_sensitive,id,reply_settings,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,entities.hashtags,entities.mentions,entities.annotations,entities.urls
0,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",['1591038024070344705'],Twitter for iPhone,2022-11-11T11:59:59.000Z,"RT @JP_NEWSTATE: ＼\🎊1st Anniversary キャンペーン開催🎊/／

皆さまのおかげで #ニューステ はリリース1周年‼️
感謝をこめて #iPhone14Pro と #airpodspro2 や #Amazonギフト券 10万円分を #プレゼント…",ja,False,1591038024070344705,everyone,9413,0,0,0,"[{'start': 58, 'end': 64, 'tag': 'ニューステ'}, {'start': 83, 'end': 95, 'tag': 'iPhone14Pro'}, {'start': 98, 'end': 110, 'tag': 'airpodspro2'}, {'start': 113, 'end': 124, 'tag': 'Amazonギフト券'}, {'start': 132, 'end': 138, 'tag': 'プレゼント'}]","[{'start': 3, 'end': 15, 'username': 'JP_NEWSTATE', 'id': '1333693963451043841'}]",,
1,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",['1591038013257052160'],Twitter for Android,2022-11-11T11:59:57.000Z,"RT @Setec_FR: 🎁 #CONCOURS #GIVEAWAY 🎁

L'équipe #SETEC vous offre la chance de remporter un #iPhone14ProMax ! 

Pour participer:

🔁 Retweet…",fr,False,1591038013257052160,everyone,1542,0,0,0,"[{'start': 16, 'end': 25, 'tag': 'CONCOURS'}, {'start': 26, 'end': 35, 'tag': 'GIVEAWAY'}, {'start': 48, 'end': 54, 'tag': 'SETEC'}, {'start': 92, 'end': 107, 'tag': 'iPhone14ProMax'}]","[{'start': 3, 'end': 12, 'username': 'Setec_FR', 'id': '1079167257966772224'}]",,
2,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",['1591038011592310784'],Twitter for iPhone,2022-11-11T11:59:56.000Z,"RT @JP_NEWSTATE: ＼\🎊1st Anniversary キャンペーン開催🎊/／

皆さまのおかげで #ニューステ はリリース1周年‼️
感謝をこめて #iPhone14Pro と #airpodspro2 や #Amazonギフト券 10万円分を #プレゼント…",ja,False,1591038011592310784,everyone,9413,0,0,0,"[{'start': 58, 'end': 64, 'tag': 'ニューステ'}, {'start': 83, 'end': 95, 'tag': 'iPhone14Pro'}, {'start': 98, 'end': 110, 'tag': 'airpodspro2'}, {'start': 113, 'end': 124, 'tag': 'Amazonギフト券'}, {'start': 132, 'end': 138, 'tag': 'プレゼント'}]","[{'start': 3, 'end': 15, 'username': 'JP_NEWSTATE', 'id': '1333693963451043841'}]",,
3,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1416151893609390081', 'name': 'LINE'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1416151893609390081', 'name': 'LINE'}}]",['1591038008589189120'],Twitter for iPhone,2022-11-11T11:59:55.000Z,"RT @sirollc: 【Apple製品プレゼント企画】
iPhone14仕入れてきたのですが、
欲しい方居ます？

参加条件
・私のアカウントのフォロー
・ツイートをリツイート&amp;いいね
・当選連絡用LINEの追加

当選したら売るなり使うなり使い方自由です。

※参加条件満…",ja,False,1591038008589189120,everyone,2705,0,0,0,,"[{'start': 3, 'end': 11, 'username': 'sirollc', 'id': '449106717'}]","[{'start': 14, 'end': 18, 'probability': 0.7522, 'type': 'Product', 'normalized_text': 'Apple'}, {'start': 105, 'end': 108, 'probability': 0.9159, 'type': 'Product', 'normalized_text': 'LINE'}]",
4,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",['1591037996908044288'],Twitter Web App,2022-11-11T11:59:53.000Z,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/hNNlLIi7qT

🎁Rewards: 
Random 1 in Top Ref: 01…",en,False,1591037996908044288,everyone,3602,0,0,0,,"[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]","[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 84, 'end': 107, 'url': 'https://t.co/hNNlLIi7qT', 'expanded_url': 'https://t.me/AttlasAirdropbot', 'display_url': 't.me/AttlasAirdropb…', 'status': 200, 'title': 'Attlas Airdrop', 'description': 'You can contact @AttlasAirdropbot right away.', 'unwound_url': 'https://t.me/AttlasAirdropbot'}]"
5,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1035268264916484096', 'name': 'docomo (ドコモ)', 'description': 'docomo (ドコモ)'}}]",['1591037983440113665'],Twitter for iPhone,2022-11-11T11:59:49.000Z,"iPhone14proくんやっと手元にきた！✌️
docomoの優待あったから予約したけど入荷して手元に届くまで1ヶ月以上かかった😂 https://t.co/iA4V28knyW",ja,False,1591037983440113665,everyone,0,0,2,0,,,"[{'start': 0, 'end': 12, 'probability': 0.6882, 'type': 'Person', 'normalized_text': 'iPhone14proくん'}, {'start': 25, 'end': 30, 'probability': 0.4575, 'type': 'Organization', 'normalized_text': 'docomo'}]","[{'start': 67, 'end': 90, 'url': 'https://t.co/iA4V28knyW', 'expanded_url': 'https://twitter.com/aryapiii/status/1591037983440113665/photo/1', 'display_url': 'pic.twitter.com/iA4V28knyW', 'media_key': '3_1591037976116854784'}, {'start': 67, 'end': 90, 'url': 'https://t.co/iA4V28knyW', 'expanded_url': 'https://twitter.com/aryapiii/status/1591037983440113665/photo/1', 'display_url': 'pic.twitter.com/iA4V28knyW', 'media_key': '3_1591037976083312642'}]"
6,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '783335558466506752', 'name': 'Online - Retail'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1407811550987972617', 'name': 'Industries'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1407812892909473795', 'name': 'eCommerce industry'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",['1591037965287198720'],TwifullJP,2022-11-11T11:59:45.000Z,"楽天市場にてiPhone 14 Pro 512GB simフリー回線セット! #iphone #iphone14 https://t.co/7sq0YKL4Qk, Fri, 11 Nov 2022 20:59:45 +0900",ja,False,1591037965287198720,everyone,0,0,0,0,"[{'start': 39, 'end': 46, 'tag': 'iphone'}, {'start': 47, 'end': 56, 'tag': 'iphone14'}]",,,"[{'start': 57, 'end': 80, 'url': 'https://t.co/7sq0YKL4Qk', 'expanded_url': 'https://a.r10.to/hPYt0u', 'display_url': 'a.r10.to/hPYt0u', 'images': [{'url': 'https://pbs.twimg.com/news_img/1591421120716197891/FWBXk5Fg?format=png&name=orig', 'width': 600, 'height': 600}, {'url': 'https://pbs.twimg.com/news_img/1591421120716197891/FWBXk5Fg?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '【楽天市場】【16000円OFFクーポン配布中】iPhone 14 Pro 512GB simフリー 国内正規品 Apple 本体 端末 新品 回線セット：楽天モバイル公式 楽天市場店', 'description': '【お得な回線セット】 楽天モバイル 公式ショップ。【16000円OFFクーポン配布中】iPhone 14 Pro 512GB simフリー 国内正規品 Apple 本体 端末 新品 回線セット', 'unwound_url': 'https://item.rakuten.co.jp/rakutenmobile-store/iphone-14-pro_512gb_bundle/?scid=af_pc_etc&sc2id=af_101_0_0'}]"
7,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '1174432578503204864', 'name': 'PC gaming'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '1201630019065274369', 'name': 'PlayStation 5'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10027048853', 'name': 'PlayStation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028376662888448', 'name': 'Console gaming', 'description': 'Video Game Hardware'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1174432578503204864', 'name': 'PC gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1201630019065274369', 'name': 'PlayStation 5'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games - Entertainment'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10027048853', 'name': 'PlayStation'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '10027048853', 'name': 'PlayStation'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '856739783577554949', 'name': 'Nintendo Switch', 'description': 'Nintendo Switch'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10027048853', 'name': 'PlayStation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847527650667094017', 'name': 'Gaming', 'description': 'Gaming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '856739783577554949', 'name': 'Nintendo Switch', 'description': 'Nintendo Switch'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028159964262400', 'name': 'Video games'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070028376662888448', 'name': 'Console gaming', 'description': 'Video Game Hardware'}}]",['1591037961755578369'],Twitter for iPhone,2022-11-11T11:59:44.000Z,"RT @tcRD3Etks9ZQXKa: ▼「ドーンッ！」と大抽選会の当選企画！

来週当選のリツイート参加！何を選んでますか？

▦ iPhone14 Pro(New!!) × ３名様

▦ ＰＳ５　　×　　２名様

▦ Switch　　 ×　　３名様

▦ ガレリアPC　×…",ja,False,1591037961755578369,everyone,269,0,0,0,,"[{'start': 3, 'end': 19, 'username': 'tcRD3Etks9ZQXKa', 'id': '1492145424261545986'}]",,
8,,['1591037961474543616'],Twitter for iPhone,2022-11-11T11:59:44.000Z,@tcRD3Etks9ZQXKa iPhone14proが欲しいです！,ja,False,1591037961474543616,everyone,0,0,0,0,,"[{'start': 0, 'end': 16, 'username': 'tcRD3Etks9ZQXKa', 'id': '1492145424261545986'}]",,
9,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",['1591037960950284289'],Twitter for iPhone,2022-11-11T11:59:44.000Z,"RT @RockfordJoblist: 私の方から超激熱サプライズ🎁

iPhone14が
またまた手に入りましたので
フォロワー様に配ります。

希望者は
投稿のRT×コメントお願いします

ランダムで選びます。 https://t.co/srUiDbP114",ja,False,1591037960950284289,everyone,2257,0,0,0,,"[{'start': 3, 'end': 19, 'username': 'RockfordJoblist', 'id': '327975323'}]",,"[{'start': 109, 'end': 132, 'url': 'https://t.co/srUiDbP114', 'expanded_url': 'https://twitter.com/RockfordJoblist/status/1590668341227622400/photo/1', 'display_url': 'pic.twitter.com/srUiDbP114', 'media_key': '3_1590636852179914753'}]"
