,end,start,tweet_count
0,2022-11-06T01:00:00.000Z,2022-11-06T00:00:00.000Z,27
1,2022-11-06T02:00:00.000Z,2022-11-06T01:00:00.000Z,56
2,2022-11-06T03:00:00.000Z,2022-11-06T02:00:00.000Z,21
3,2022-11-06T04:00:00.000Z,2022-11-06T03:00:00.000Z,8
4,2022-11-06T05:00:00.000Z,2022-11-06T04:00:00.000Z,4
5,2022-11-06T06:00:00.000Z,2022-11-06T05:00:00.000Z,3
6,2022-11-06T07:00:00.000Z,2022-11-06T06:00:00.000Z,6
7,2022-11-06T08:00:00.000Z,2022-11-06T07:00:00.000Z,28
8,2022-11-06T09:00:00.000Z,2022-11-06T08:00:00.000Z,10
9,2022-11-06T10:00:00.000Z,2022-11-06T09:00:00.000Z,6
10,2022-11-06T11:00:00.000Z,2022-11-06T10:00:00.000Z,13
11,2022-11-06T12:00:00.000Z,2022-11-06T11:00:00.000Z,11
12,2022-11-06T13:00:00.000Z,2022-11-06T12:00:00.000Z,25
13,2022-11-06T14:00:00.000Z,2022-11-06T13:00:00.000Z,38
14,2022-11-06T15:00:00.000Z,2022-11-06T14:00:00.000Z,18
15,2022-11-06T16:00:00.000Z,2022-11-06T15:00:00.000Z,7
16,2022-11-06T17:00:00.000Z,2022-11-06T16:00:00.000Z,28
17,2022-11-06T18:00:00.000Z,2022-11-06T17:00:00.000Z,10
18,2022-11-06T19:00:00.000Z,2022-11-06T18:00:00.000Z,11
19,2022-11-06T20:00:00.000Z,2022-11-06T19:00:00.000Z,33
20,2022-11-06T21:00:00.000Z,2022-11-06T20:00:00.000Z,46
21,2022-11-06T22:00:00.000Z,2022-11-06T21:00:00.000Z,18
22,2022-11-06T23:00:00.000Z,2022-11-06T22:00:00.000Z,35
23,2022-11-07T00:00:00.000Z,2022-11-06T23:00:00.000Z,17
24,2022-11-07T01:00:00.000Z,2022-11-07T00:00:00.000Z,10
25,2022-11-07T02:00:00.000Z,2022-11-07T01:00:00.000Z,23
26,2022-11-07T03:00:00.000Z,2022-11-07T02:00:00.000Z,52
27,2022-11-07T04:00:00.000Z,2022-11-07T03:00:00.000Z,47
28,2022-11-07T05:00:00.000Z,2022-11-07T04:00:00.000Z,126
29,2022-11-07T06:00:00.000Z,2022-11-07T05:00:00.000Z,91
30,2022-11-07T07:00:00.000Z,2022-11-07T06:00:00.000Z,2
